"InphaseC4_019","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_019.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.450000,          2.2819,          1.4267,          2.0253,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1113,          2.2748,          1.8868,          2.1721,        -80.0011,        -79.9999,        -80.0001,        -79.9995,        -79.9998,        -79.9995,        -79.9993,        -79.9997
,        0.458333,          2.2818,          1.4267,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2030,          2.1113,          2.2746,          1.8868,          2.1721,        -79.9994,        -80.0002,        -79.9996,        -79.9996,        -79.9999,        -80.0009,        -80.0014,        -80.0004
,        0.466667,          2.2818,          1.4268,          2.0253,          2.5835,          2.1930,          1.4375,          1.7897,          2.2793,          1.7891,          1.7488,          2.0452,          2.2030,          2.1112,          2.2747,          1.8868,          2.1720,        -80.0010,        -80.0000,        -80.0008,        -79.9997,        -79.9997,        -80.0006,        -79.9973,        -80.0003
,        0.475000,          2.2818,          1.4268,          2.0252,          2.5834,          2.1929,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0452,          2.2030,          2.1113,          2.2748,          1.8868,          2.1719,        -79.9999,        -79.9997,        -80.0000,        -80.0006,        -79.9999,        -80.0001,        -79.9989,        -79.9998
,        0.483333,          2.2818,          1.4268,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7488,          2.0453,          2.2031,          2.1111,          2.2760,          1.9104,          2.1720,        -79.9991,        -79.9998,        -80.0004,        -79.9996,        -80.0003,        -79.9981,        -80.0017,        -79.9810
,        0.491667,          2.2819,          1.4268,          2.0252,          2.5834,          2.1930,          1.4376,          1.7897,          2.2792,          1.7891,          1.7488,          2.0454,          2.2052,          2.1112,          2.2748,          1.8867,          2.1720,        -79.9987,        -79.9999,        -80.0001,        -80.0003,        -79.9999,        -79.9984,        -79.9972,        -79.9965
,        0.500000,          2.2819,          1.4267,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7489,          2.0456,          2.2033,          2.1117,          2.2744,          1.8866,          2.1720,        -79.9993,        -79.9998,        -79.9995,        -79.9997,        -80.0002,        -80.0031,        -80.0023,        -79.9876
,        0.508333,          2.2819,          1.4268,          2.0253,          2.5834,          2.1930,          1.4375,          1.7897,          2.2791,          1.7891,          1.7489,          2.0454,          2.2031,          2.1112,          2.2746,          1.8866,          2.1720,        -80.0002,        -80.0003,        -80.0005,        -80.0000,        -80.0010,        -79.9943,        -80.0015,        -79.9924
,        0.516667,          2.2818,          1.4268,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2792,          1.7891,          1.7489,          2.0453,          2.2030,          2.1112,          2.2747,          1.8867,          2.1719,        -79.9994,        -80.0001,        -79.9997,        -80.0002,        -79.9998,        -79.9971,        -80.0004,        -79.9971
,        0.525000,          2.2818,          1.4267,          2.0252,          2.5835,          2.1930,          1.4375,          1.7897,          2.2793,          1.7891,          1.7488,          2.0452,          2.2030,          2.1112,          2.2747,          1.8868,          2.1721,        -79.9986,        -79.9999,        -80.0003,        -80.0003,        -80.0000,        -79.9996,        -79.9990,        -79.9993
