"VanillaC4_007 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_007.tcf]","Time (h)","Q 2 [VanillaC4_007]","Q 3 [VanillaC4_007]","Q 4 [VanillaC4_007]","Q 5 [VanillaC4_007]","Q 6 [VanillaC4_007]","Q 7 [VanillaC4_007]","Q 1 [VanillaC4_007]","Q  8 [VanillaC4_007]"
         180,        1.491667,         -7.0000,         -7.0001,         -7.0000,         -6.9998,         -7.0001,         -7.0000,         -6.9998,         -6.9999
         181,        1.500000,         -6.9999,         -7.0001,         -7.0000,         -7.0001,         -7.0000,         -7.0001,         -6.9999,         -6.9999
         182,        1.508333,         -6.9999,         -6.9999,         -7.0001,         -6.9999,         -6.9999,         -7.0000,         -6.9999,         -7.0001
         183,        1.516667,         -7.0002,         -7.0002,         -6.9999,         -7.0000,         -7.0000,         -7.0000,         -7.0000,         -6.9998
         184,        1.525000,         -6.9999,         -7.0001,         -6.9999,         -6.9999,         -7.0002,         -6.9999,         -7.0000,         -6.9997
         185,        1.533333,         -6.9998,         -7.0001,         -7.0002,         -7.0001,         -7.0000,         -7.0000,         -6.9998,         -7.0000
         186,        1.541667,         -6.9999,         -7.0000,         -7.0001,         -7.0000,         -6.9999,         -7.0000,         -7.0000,         -6.9996
         187,        1.550000,         -6.9999,         -7.0000,         -7.0000,         -6.9998,         -7.0000,         -7.0000,         -7.0000,         -7.0002
         188,        1.558333,         -7.0001,         -7.0001,         -6.9999,         -7.0000,         -7.0001,         -7.0000,         -7.0001,         -7.0001
         189,        1.566667,         -6.9999,         -7.0001,         -6.9999,         -7.0001,         -7.0000,         -6.9999,         -7.0000,         -7.0000
         190,        1.575000,         -7.0002,         -7.0000,         -6.9999,         -7.0001,         -6.9999,         -7.0001,         -7.0002,         -7.0000
         191,        1.583333,         -6.9999,         -7.0000,         -7.0002,         -6.9999,         -6.9999,         -7.0001,         -7.0000,         -7.0000
         192,        1.591667,         -7.0001,         -7.0000,         -6.9999,         -6.9999,         -6.9998,         -7.0000,         -7.0001,         -6.9999
         193,        1.600000,         -7.0000,         -6.9999,         -6.9999,         -7.0000,         -7.0000,         -7.0002,         -7.0000,         -7.0001
         194,        1.608333,         -7.0000,         -7.0000,         -6.9999,         -7.0000,         -6.9999,         -7.0000,         -7.0000,         -6.9999
         195,        1.616667,         -7.0000,         -7.0001,         -7.0000,         -6.9999,         -6.9999,         -7.0001,         -7.0000,         -7.0001
         196,        1.625000,         -7.0000,         -6.9999,         -7.0002,         -7.0000,         -7.0000,         -7.0000,         -7.0000,         -6.9998
         197,        1.633333,         -7.0000,         -7.0001,         -7.0002,         -7.0000,         -7.0001,         -7.0001,         -6.9999,         -7.0001
         198,        1.641667,         -6.9999,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -7.0001,         -6.9999,         -6.9999
         199,        1.650000,         -7.0000,         -7.0002,         -6.9998,         -7.0000,         -6.9999,         -7.0000,         -6.9999,         -6.9998
         200,        1.658333,         -7.0001,         -6.9999,         -7.0001,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -6.9999
         201,        1.666667,         -7.0000,         -7.0001,         -6.9998,         -7.0000,         -6.9999,         -7.0000,         -7.0000,         -7.0000
         202,        1.675000,         -7.0001,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -7.0000,         -6.9997,         -6.9999
         203,        1.683333,         -7.0001,         -6.9999,         -7.0000,         -7.0000,         -7.0001,         -7.0001,         -7.0000,         -6.9999
