"InphaseC4_005 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_005.tcf]","Time (h)","Q 2 [InphaseC4_005]","Q 3 [InphaseC4_005]","Q 4 [InphaseC4_005]","Q 5 [InphaseC4_005]","Q 6 [InphaseC4_005]","Q 7 [InphaseC4_005]","Q 1 [InphaseC4_005]","Q  8 [InphaseC4_005]"
         128,        1.058333,        -38.2745,        -38.2742,        -38.2745,        -38.2742,        -38.2740,        -38.2745,        -38.2741,        -38.2747
         129,        1.066667,        -38.2742,        -38.2741,        -38.2738,        -38.2740,        -38.2744,        -38.2743,        -38.2739,        -38.2746
         130,        1.075000,        -38.2741,        -38.2744,        -38.2745,        -38.2742,        -38.2741,        -38.2746,        -38.2746,        -38.2738
         131,        1.083333,        -38.2742,        -38.2738,        -38.2746,        -38.2738,        -38.2738,        -38.2740,        -38.2743,        -38.2744
         132,        1.091667,        -38.2746,        -38.2741,        -38.2739,        -38.2745,        -38.2739,        -38.2746,        -38.2739,        -38.2736
         133,        1.100000,        -38.2744,        -38.2740,        -38.2736,        -38.2736,        -38.2746,        -38.2744,        -38.2744,        -38.2742
         134,        1.108333,        -38.2744,        -38.2745,        -38.2743,        -38.2736,        -38.2745,        -38.2744,        -38.2744,        -38.2745
         135,        1.116667,        -38.2745,        -38.2743,        -38.2749,        -38.2742,        -38.2742,        -38.2745,        -38.2747,        -38.2742
         136,        1.125000,        -38.2748,        -38.2746,        -38.2746,        -38.2747,        -38.2749,        -38.2744,        -38.2744,        -38.2738
         137,        1.133333,        -38.2742,        -38.2743,        -38.2748,        -38.2745,        -38.2739,        -38.2739,        -38.2740,        -38.2740
         138,        1.141667,        -38.2742,        -38.2748,        -38.2746,        -38.2745,        -38.2743,        -38.2744,        -38.2744,        -38.2735
         139,        1.150000,        -38.2743,        -38.2741,        -38.2742,        -38.2745,        -38.2749,        -38.2744,        -38.2744,        -38.2741
         140,        1.158333,        -38.2745,        -38.2745,        -38.2748,        -38.2745,        -38.2748,        -38.2743,        -38.2743,        -38.2744
         141,        1.166667,        -38.2743,        -38.2741,        -38.2738,        -38.2744,        -38.2738,        -38.2744,        -38.2740,        -38.2739
         142,        1.175000,        -38.2746,        -38.2739,        -38.2740,        -38.2745,        -38.2742,        -38.2744,        -38.2744,        -38.2738
         143,        1.183333,        -38.2736,        -38.2743,        -38.2743,        -38.2744,        -38.2749,        -38.2744,        -38.2741,        -38.2747
         144,        1.191667,        -38.2745,        -38.2743,        -38.2738,        -38.2750,        -38.2737,        -38.2742,        -38.2744,        -38.2748
         145,        1.200000,        -38.2743,        -38.2743,        -38.2747,        -38.2745,        -38.2742,        -38.2744,        -38.2740,        -38.2745
         146,        1.208333,        -38.2737,        -38.2740,        -38.2741,        -38.2743,        -38.2747,        -38.2742,        -38.2742,        -38.2747
         147,        1.216667,        -38.2746,        -38.2742,        -38.2739,        -38.2739,        -38.2745,        -38.2740,        -38.2743,        -38.2745
         148,        1.225000,        -38.2743,        -38.2744,        -38.2744,        -38.2742,        -38.2734,        -38.2739,        -38.2741,        -38.2741
         149,        1.233333,        -38.2749,        -38.2744,        -38.2737,        -38.2745,        -38.2744,        -38.2744,        -38.2742,        -38.2745
         150,        1.241667,        -38.2750,        -38.2742,        -38.2737,        -38.2741,        -38.2740,        -38.2742,        -38.2742,        -38.2746
         151,        1.250000,        -38.2743,        -38.2746,        -38.2743,        -38.2747,        -38.2744,        -38.2745,        -38.2744,        -38.2745
         152,        1.258333,        -38.2738,        -38.2742,        -38.2743,        -38.2747,        -38.2743,        -38.2742,        -38.2745,        -38.2747
         153,        1.266667,        -38.2744,        -38.2740,        -38.2743,        -38.2741,        -38.2744,        -38.2747,        -38.2744,        -38.2742
         154,        1.275000,        -38.2743,        -38.2743,        -38.2748,        -38.2746,        -38.2741,        -38.2745,        -38.2747,        -38.2737
         155,        1.283333,        -38.2743,        -38.2744,        -38.2748,        -38.2742,        -38.2745,        -38.2742,        -38.2740,        -38.2750
         156,        1.291667,        -38.2744,        -38.2745,        -38.2737,        -38.2741,        -38.2743,        -38.2742,        -38.2742,        -38.2746
         157,        1.300000,        -38.2748,        -38.2743,        -38.2742,        -38.2739,        -38.2745,        -38.2741,        -38.2740,        -38.2752
         158,        1.308333,        -38.2745,        -38.2743,        -38.2743,        -38.2746,        -38.2740,        -38.2741,        -38.2742,        -38.2749
         159,        1.316667,        -38.2745,        -38.2743,        -38.2747,        -38.2738,        -38.2745,        -38.2742,        -38.2744,        -38.2744
         160,        1.325000,        -38.2744,        -38.2741,        -38.2745,        -38.2740,        -38.2737,        -38.2743,        -38.2741,        -38.2738
         161,        1.333333,        -38.2746,        -38.2746,        -38.2742,        -38.2740,        -38.2738,        -38.2744,        -38.2741,        -38.2738
         162,        1.341667,        -38.2742,        -38.2744,        -38.2745,        -38.2736,        -38.2737,        -38.2743,        -38.2742,        -38.2749
         163,        1.350000,        -38.2735,        -38.2742,        -38.2745,        -38.2747,        -38.2747,        -38.2741,        -38.2743,        -38.2745
         164,        1.358333,        -38.2742,        -38.2744,        -38.2745,        -38.2743,        -38.2743,        -38.2740,        -38.2745,        -38.2741
         165,        1.366667,        -38.2741,        -38.2744,        -38.2748,        -38.2748,        -38.2739,        -38.2744,        -38.2739,        -38.2740
         166,        1.375000,        -38.2750,        -38.2740,        -38.2746,        -38.2740,        -38.2745,        -38.2740,        -38.2743,        -38.2743
         167,        1.383333,        -38.2741,        -38.2744,        -38.2743,        -38.2737,        -38.2747,        -38.2743,        -38.2745,        -38.2737
         168,        1.391667,        -38.2740,        -38.2747,        -38.2741,        -38.2746,        -38.2742,        -38.2737,        -38.2743,        -38.2744
         169,        1.400000,        -38.2750,        -38.2742,        -38.2739,        -38.2740,        -38.2749,        -38.2743,        -38.2745,        -38.2741
         170,        1.408333,        -38.2743,        -38.2742,        -38.2742,        -38.2737,        -38.2741,        -38.2742,        -38.2742,        -38.2743
         171,        1.416667,        -38.2751,        -38.2743,        -38.2745,        -38.2748,        -38.2745,        -38.2744,        -38.2745,        -38.2744
         172,        1.425000,        -38.2740,        -38.2742,        -38.2749,        -38.2747,        -38.2733,        -38.2742,        -38.2743,        -38.2740
         173,        1.433333,        -38.2742,        -38.2749,        -38.2742,        -38.2739,        -38.2748,        -38.2740,        -38.2745,        -38.2740
         174,        1.441667,        -38.2745,        -38.2746,        -38.2746,        -38.2746,        -38.2741,        -38.2746,        -38.2742,        -38.2744
         175,        1.450000,        -38.2741,        -38.2743,        -38.2740,        -38.2740,        -38.2742,        -38.2742,        -38.2746,        -38.2750
         176,        1.458333,        -38.2743,        -38.2741,        -38.2739,        -38.2743,        -38.2741,        -38.2743,        -38.2743,        -38.2747
         177,        1.466667,        -38.2746,        -38.2744,        -38.2743,        -38.2749,        -38.2736,        -38.2743,        -38.2740,        -38.2735
         178,        1.475000,        -38.2745,        -38.2743,        -38.2743,        -38.2737,        -38.2749,        -38.2743,        -38.2742,        -38.2742
         179,        1.483333,        -38.2739,        -38.2747,        -38.2734,        -38.2739,        -38.2748,        -38.2741,        -38.2743,        -38.2746
         180,        1.491667,        -38.2735,        -38.2744,        -38.2744,        -38.2741,        -38.2740,        -38.2743,        -38.2742,        -38.2739
         181,        1.500000,        -38.2743,        -38.2743,        -38.2743,        -38.2745,        -38.2745,        -38.2744,        -38.2741,        -38.2747
         182,        1.508333,        -38.2746,        -38.2744,        -38.2739,        -38.2747,        -38.2745,        -38.2741,        -38.2741,        -38.2749
         183,        1.516667,        -38.2743,        -38.2741,        -38.2751,        -38.2745,        -38.2745,        -38.2741,        -38.2744,        -38.2740
         184,        1.525000,        -38.2738,        -38.2746,        -38.2750,        -38.2740,        -38.2746,        -38.2741,        -38.2741,        -38.2732
         185,        1.533333,        -38.2742,        -38.2743,        -38.2745,        -38.2744,        -38.2737,        -38.2743,        -38.2744,        -38.2746
         186,        1.541667,        -38.2742,        -38.2742,        -38.2743,        -38.2746,        -38.2745,        -38.2742,        -38.2742,        -38.2739
         187,        1.550000,        -38.2741,        -38.2739,        -38.2740,        -38.2745,        -38.2744,        -38.2744,        -38.2741,        -38.2738
         188,        1.558333,        -38.2737,        -38.2745,        -38.2740,        -38.2741,        -38.2741,        -38.2740,        -38.2741,        -38.2747
         189,        1.566667,        -38.2740,        -38.2740,        -38.2744,        -38.2745,        -38.2739,        -38.2742,        -38.2743,        -38.2743
         190,        1.575000,        -38.2739,        -38.2743,        -38.2744,        -38.2739,        -38.2748,        -38.2745,        -38.2743,        -38.2745
         191,        1.583333,        -38.2747,        -38.2741,        -38.2737,        -38.2745,        -38.2738,        -38.2745,        -38.2745,        -38.2747
         192,        1.591667,        -38.2747,        -38.2740,        -38.2749,        -38.2742,        -38.2747,        -38.2742,        -38.2744,        -38.2741
         193,        1.600000,        -38.2742,        -38.2739,        -38.2742,        -38.2746,        -38.2740,        -38.2741,        -38.2743,        -38.2745
         194,        1.608333,        -38.2744,        -38.2743,        -38.2741,        -38.2739,        -38.2746,        -38.2742,        -38.2744,        -38.2751
         195,        1.616667,        -38.2741,        -38.2746,        -38.2745,        -38.2745,        -38.2744,        -38.2743,        -38.2744,        -38.2736
         196,        1.625000,        -38.2745,        -38.2742,        -38.2744,        -38.2742,        -38.2739,        -38.2741,        -38.2739,        -38.2746
         197,        1.633333,        -38.2745,        -38.2747,        -38.2742,        -38.2742,        -38.2748,        -38.2744,        -38.2743,        -38.2748
         198,        1.641667,        -38.2743,        -38.2742,        -38.2741,        -38.2742,        -38.2746,        -38.2742,        -38.2744,        -38.2734
         199,        1.650000,        -38.2741,        -38.2741,        -38.2746,        -38.2743,        -38.2745,        -38.2743,        -38.2739,        -38.2744
         200,        1.658333,        -38.2742,        -38.2740,        -38.2739,        -38.2742,        -38.2748,        -38.2739,        -38.2743,        -38.2742
         201,        1.666667,        -38.2749,        -38.2743,        -38.2738,        -38.2747,        -38.2748,        -38.2744,        -38.2742,        -38.2749
         202,        1.675000,        -38.2743,        -38.2742,        -38.2741,        -38.2745,        -38.2747,        -38.2742,        -38.2745,        -38.2734
