"VanillaC4_006 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_006.tcf]","Time (h)","Q 2 [VanillaC4_006]","Q 3 [VanillaC4_006]","Q 4 [VanillaC4_006]","Q 5 [VanillaC4_006]","Q 6 [VanillaC4_006]","Q 7 [VanillaC4_006]","Q 1 [VanillaC4_006]","Q  8 [VanillaC4_006]"
          82,        0.675000,         -5.9999,         -6.0000,         -6.0001,         -6.0002,         -5.9999,         -6.0000,         -6.0001,         -5.9999
          83,        0.683333,         -6.0001,         -6.0000,         -6.0001,         -6.0001,         -5.9999,         -5.9998,         -6.0000,         -5.9999
          84,        0.691667,         -6.0000,         -5.9999,         -6.0000,         -5.9999,         -5.9999,         -5.9999,         -5.9999,         -5.9999
          85,        0.700000,         -6.0001,         -5.9999,         -5.9999,         -6.0001,         -5.9998,         -6.0001,         -5.9999,         -6.0000
          86,        0.708333,         -5.9999,         -5.9999,         -6.0002,         -6.0000,         -6.0001,         -6.0000,         -5.9999,         -6.0001
          87,        0.716667,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -6.0000,         -5.9998,         -6.0001
          88,        0.725000,         -5.9999,         -6.0001,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -5.9999
          89,        0.733333,         -5.9999,         -6.0001,         -6.0001,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -5.9999
          90,        0.741667,         -5.9999,         -6.0000,         -5.9998,         -6.0000,         -6.0001,         -6.0000,         -5.9999,         -5.9998
          91,        0.750000,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -6.0001,         -5.9999,         -5.9998
          92,        0.758333,         -6.0000,         -6.0001,         -5.9999,         -6.0000,         -6.0000,         -6.0001,         -5.9999,         -5.9997
          93,        0.766667,         -6.0001,         -6.0000,         -5.9999,         -5.9999,         -6.0000,         -6.0000,         -5.9999,         -6.0000
          94,        0.775000,         -6.0000,         -6.0000,         -6.0001,         -6.0000,         -5.9999,         -6.0001,         -5.9999,         -6.0000
          95,        0.783333,         -6.0000,         -6.0001,         -6.0002,         -6.0002,         -6.0000,         -6.0000,         -5.9999,         -6.0000
          96,        0.791667,         -5.9999,         -5.9999,         -6.0002,         -6.0001,         -5.9999,         -6.0000,         -6.0000,         -5.9998
          97,        0.800000,         -6.0000,         -5.9999,         -6.0001,         -5.9999,         -6.0002,         -5.9999,         -5.9999,         -5.9998
          98,        0.808333,         -5.9998,         -6.0000,         -6.0000,         -6.0000,         -5.9998,         -6.0001,         -6.0002,         -5.9998
          99,        0.816667,         -6.0000,         -6.0001,         -6.0000,         -6.0000,         -6.0001,         -6.0001,         -6.0001,         -5.9998
         100,        0.825000,         -6.0001,         -5.9999,         -6.0002,         -5.9999,         -6.0000,         -6.0000,         -5.9998,         -6.0001
         101,        0.833333,         -5.9999,         -6.0001,         -6.0000,         -5.9998,         -6.0001,         -6.0000,         -5.9999,         -5.9997
         102,        0.841667,         -5.9999,         -6.0000,         -5.9999,         -6.0000,         -5.9999,         -6.0000,         -6.0002,         -6.0003
         103,        0.850000,         -6.0000,         -5.9998,         -6.0002,         -6.0000,         -6.0000,         -5.9999,         -6.0000,         -5.9995
         104,        0.858333,         -6.0000,         -5.9999,         -6.0001,         -6.0001,         -6.0000,         -6.0000,         -6.0000,         -5.9998
         105,        0.866667,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -5.9999,         -5.9999,         -6.0000,         -6.0000
         106,        0.875000,         -6.0000,         -6.0000,         -6.0001,         -6.0000,         -6.0001,         -6.0000,         -6.0002,         -6.0008
         107,        0.883333,         -5.9999,         -6.0000,         -6.0000,         -5.9998,         -6.0001,         -6.0000,         -6.0000,         -5.9991
         108,        0.891667,         -5.9997,         -6.0001,         -6.0002,         -5.9998,         -6.0002,         -6.0000,         -6.0000,         -5.9994
         109,        0.900000,         -6.0000,         -5.9998,         -6.0000,         -6.0001,         -6.0000,         -6.0000,         -6.0001,         -5.9996
         110,        0.908333,         -6.0000,         -5.9999,         -6.0002,         -6.0001,         -5.9998,         -6.0002,         -6.0001,         -5.9998
         111,        0.916667,         -6.0000,         -6.0001,         -6.0000,         -5.9999,         -6.0000,         -6.0000,         -6.0002,         -5.9999
         112,        0.925000,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -5.9999,         -6.0000
         113,        0.933333,         -5.9999,         -6.0000,         -5.9999,         -6.0000,         -5.9999,         -6.0000,         -5.9999,         -6.0000
         114,        0.941667,         -6.0001,         -6.0000,         -6.0000,         -6.0001,         -6.0000,         -6.0000,         -6.0001,         -6.0001
         115,        0.950000,         -6.0000,         -6.0000,         -6.0001,         -6.0000,         -5.9999,         -6.0000,         -6.0001,         -5.9997
         116,        0.958333,         -6.0001,         -5.9999,         -6.0000,         -5.9998,         -5.9999,         -6.0000,         -6.0000,         -5.9998
         117,        0.966667,         -5.9999,         -6.0000,         -6.0000,         -5.9998,         -5.9999,         -6.0000,         -6.0000,         -5.9998
         118,        0.975000,         -5.9999,         -6.0000,         -5.9998,         -6.0000,         -6.0001,         -6.0000,         -5.9999,         -5.9999
         119,        0.983333,         -5.9999,         -5.9999,         -5.9999,         -6.0000,         -6.0001,         -6.0000,         -6.0002,         -6.0000
         120,        0.991667,         -6.0000,         -6.0000,         -6.0001,         -6.0001,         -6.0001,         -5.9999,         -5.9998,         -6.0000
         121,        1.000000,         -5.9998,         -5.9998,         -6.0003,         -5.9999,         -6.0000,         -6.0001,         -5.9999,         -5.9999
         122,        1.008333,         -6.0002,         -5.9999,         -6.0001,         -5.9999,         -6.0001,         -6.0000,         -6.0001,         -5.9998
         123,        1.016667,         -6.0002,         -6.0000,         -5.9998,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -6.0001
         124,        1.025000,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -5.9999,         -6.0000
         125,        1.033333,         -6.0000,         -6.0000,         -5.9998,         -6.0001,         -5.9999,         -6.0001,         -5.9999,         -5.9999
         126,        1.041667,         -6.0000,         -6.0001,         -5.9999,         -5.9999,         -6.0000,         -6.0001,         -5.9999,         -6.0001
         127,        1.050000,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -5.9999,         -6.0000,         -6.0000,         -6.0000
         128,        1.058333,         -5.9999,         -6.0000,         -6.0002,         -6.0000,         -6.0000,         -5.9999,         -6.0000,         -6.0001
         129,        1.066667,         -6.0000,         -5.9999,         -6.0000,         -6.0001,         -5.9999,         -6.0000,         -5.9999,         -5.9999
         130,        1.075000,         -6.0001,         -6.0000,         -6.0002,         -6.0000,         -5.9999,         -5.9999,         -6.0001,         -6.0001
         131,        1.083333,         -5.9999,         -6.0000,         -5.9999,         -6.0000,         -6.0000,         -5.9999,         -6.0001,         -6.0001
         132,        1.091667,         -5.9999,         -6.0001,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -5.9998
         133,        1.100000,         -5.9999,         -6.0001,         -5.9999,         -6.0000,         -5.9999,         -6.0000,         -5.9998,         -6.0000
         134,        1.108333,         -5.9999,         -6.0001,         -5.9998,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -6.0001
         135,        1.116667,         -6.0001,         -6.0000,         -6.0000,         -6.0000,         -5.9999,         -6.0000,         -6.0000,         -6.0001
         136,        1.125000,         -5.9998,         -5.9999,         -6.0001,         -5.9999,         -6.0000,         -6.0001,         -6.0000,         -6.0000
         137,        1.133333,         -5.9998,         -6.0001,         -6.0001,         -5.9998,         -5.9999,         -5.9999,         -6.0002,         -6.0000
         138,        1.141667,         -6.0001,         -6.0001,         -6.0002,         -6.0001,         -5.9999,         -6.0001,         -6.0001,         -6.0000
         139,        1.150000,         -5.9998,         -6.0000,         -5.9998,         -5.9999,         -6.0000,         -6.0000,         -5.9997,         -6.0000
         140,        1.158333,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -6.0000,         -6.0000,         -6.0000
         141,        1.166667,         -6.0000,         -6.0001,         -6.0001,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -6.0002
         142,        1.175000,         -5.9999,         -5.9999,         -6.0000,         -6.0002,         -5.9998,         -6.0000,         -6.0001,         -5.9998
         143,        1.183333,         -5.9999,         -6.0002,         -6.0001,         -5.9998,         -6.0000,         -6.0001,         -5.9999,         -6.0000
         144,        1.191667,         -6.0000,         -6.0000,         -6.0001,         -5.9999,         -6.0000,         -6.0000,         -5.9999,         -6.0000
         145,        1.200000,         -5.9999,         -6.0001,         -6.0001,         -5.9998,         -6.0000,         -6.0002,         -5.9999,         -6.0000
         146,        1.208333,         -6.0000,         -6.0000,         -6.0002,         -5.9999,         -5.9998,         -6.0000,         -5.9999,         -6.0002
         147,        1.216667,         -6.0000,         -6.0000,         -6.0000,         -5.9998,         -5.9999,         -6.0000,         -6.0000,         -5.9998
         148,        1.225000,         -5.9999,         -6.0001,         -6.0001,         -5.9999,         -6.0000,         -6.0000,         -5.9999,         -6.0001
         149,        1.233333,         -5.9999,         -6.0000,         -5.9999,         -6.0001,         -6.0001,         -5.9999,         -5.9998,         -5.9999
         150,        1.241667,         -6.0001,         -6.0001,         -6.0000,         -5.9999,         -6.0000,         -6.0001,         -6.0000,         -5.9999
         151,        1.250000,         -5.9999,         -6.0002,         -6.0000,         -6.0000,         -5.9999,         -6.0000,         -6.0001,         -6.0001
         152,        1.258333,         -6.0000,         -6.0001,         -6.0001,         -6.0001,         -6.0001,         -5.9999,         -5.9998,         -5.9999
         153,        1.266667,         -6.0000,         -6.0000,         -6.0000,         -6.0002,         -6.0000,         -5.9999,         -6.0000,         -5.9997
         154,        1.275000,         -6.0001,         -6.0000,         -5.9998,         -5.9999,         -6.0001,         -6.0001,         -5.9999,         -6.0000
         155,        1.283333,         -6.0001,         -5.9998,         -6.0000,         -6.0001,         -6.0000,         -6.0000,         -6.0000,         -6.0000
         156,        1.291667,         -6.0000,         -6.0001,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -5.9999,         -5.9998
         157,        1.300000,         -6.0001,         -6.0000,         -5.9999,         -6.0001,         -5.9999,         -6.0001,         -6.0000,         -5.9999
         158,        1.308333,         -6.0001,         -6.0000,         -6.0001,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0002
         159,        1.316667,         -5.9999,         -6.0000,         -6.0000,         -5.9999,         -5.9999,         -6.0000,         -5.9998,         -6.0000
         160,        1.325000,         -6.0000,         -6.0002,         -6.0000,         -5.9998,         -6.0001,         -6.0000,         -6.0000,         -5.9999
         161,        1.333333,         -6.0000,         -5.9998,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0000
         162,        1.341667,         -5.9998,         -6.0002,         -5.9999,         -6.0000,         -6.0000,         -5.9998,         -5.9999,         -6.0000
         163,        1.350000,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -6.0002,         -6.0000,         -5.9998,         -5.9999
         164,        1.358333,         -6.0000,         -5.9999,         -6.0001,         -6.0000,         -6.0001,         -5.9998,         -6.0000,         -5.9999
         165,        1.366667,         -5.9999,         -6.0000,         -5.9999,         -5.9998,         -5.9999,         -6.0001,         -6.0001,         -5.9999
         166,        1.375000,         -5.9999,         -5.9999,         -6.0001,         -6.0000,         -6.0000,         -6.0000,         -5.9999,         -5.9998
         167,        1.383333,         -5.9999,         -5.9999,         -6.0000,         -6.0001,         -6.0001,         -6.0000,         -6.0000,         -6.0001
         168,        1.391667,         -6.0001,         -6.0001,         -6.0001,         -6.0001,         -6.0000,         -6.0000,         -5.9999,         -5.9999
         169,        1.400000,         -5.9999,         -6.0000,         -6.0001,         -6.0002,         -5.9999,         -6.0001,         -6.0000,         -5.9999
         170,        1.408333,         -6.0000,         -6.0003,         -5.9998,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0000
         171,        1.416667,         -5.9999,         -6.0000,         -6.0001,         -5.9999,         -6.0000,         -6.0001,         -5.9999,         -5.9999
         172,        1.425000,         -6.0001,         -5.9999,         -6.0001,         -6.0002,         -6.0000,         -5.9998,         -6.0000,         -5.9997
         173,        1.433333,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -5.9999,         -5.9999,         -5.9999,         -5.9999
         174,        1.441667,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -6.0000,         -5.9999,         -6.0001
         175,        1.450000,         -6.0000,         -6.0002,         -5.9998,         -5.9999,         -6.0000,         -6.0001,         -6.0000,         -6.0001
         176,        1.458333,         -6.0002,         -6.0001,         -6.0000,         -5.9999,         -5.9999,         -5.9999,         -5.9999,         -6.0000
         177,        1.466667,         -5.9998,         -6.0000,         -6.0000,         -6.0000,         -5.9999,         -5.9998,         -5.9999,         -6.0000
         178,        1.475000,         -6.0000,         -6.0001,         -6.0000,         -6.0000,         -5.9999,         -5.9999,         -5.9999,         -6.0000
