"OutphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_013.tcf]","Time (h)","V 2 [OutphaseC4_013]","V 3 [OutphaseC4_013]","V 4 [OutphaseC4_013]","V 5 [OutphaseC4_013]","V 6 [OutphaseC4_013]","V 7 [OutphaseC4_013]","V 8 [OutphaseC4_013]","V 9 [OutphaseC4_013]","V 10 [OutphaseC4_013]","V 11 [OutphaseC4_013]","V 12 [OutphaseC4_013]","V 13 [OutphaseC4_013]","V 14 [OutphaseC4_013]","V 15 [OutphaseC4_013]","V 16 [OutphaseC4_013]","V  1 [OutphaseC4_013]"
          66,        0.541667,          1.3555,          0.0920,          0.8488,          0.8712,          0.9417,          0.2264,          0.0304,          0.3418,          1.2638,          0.4146,          0.0578,          0.4203,          0.7877,          2.2294,          3.2209,          0.5346
          67,        0.550000,          1.3513,          0.0864,          0.8439,          0.8774,          0.9422,          0.2263,          0.0300,          0.3408,          1.2638,          0.4148,          0.0593,          0.4192,          0.7892,          2.2308,          3.2226,          0.5534
          68,        0.558333,          1.3545,          0.0778,          0.8379,          0.8841,          0.9421,          0.2263,          0.0297,          0.3399,          1.2640,          0.4147,          0.0596,          0.4214,          0.7897,          2.2318,          3.2241,          0.5271
          69,        0.566667,          1.3571,          0.0861,          0.8320,          0.8905,          0.9425,          0.2264,          0.0291,          0.3390,          1.2639,          0.4148,          0.0589,          0.4269,          0.7893,          2.2323,          3.2253,          0.5160
          70,        0.575000,          1.3614,          0.0992,          0.8255,          0.8973,          0.9428,          0.2263,          0.0287,          0.3380,          1.2639,          0.4147,          0.0584,          0.4298,          0.7882,          2.2326,          3.2263,          0.5537
          71,        0.583333,          1.3609,          0.0845,          0.8182,          0.9040,          0.9431,          0.2265,          0.0284,          0.3371,          1.2641,          0.4145,          0.0589,          0.4273,          0.7870,          2.2328,          3.2272,          0.5475
          72,        0.591667,          1.3523,          0.0942,          0.8119,          0.9106,          0.9440,          0.2264,          0.0280,          0.3361,          1.2639,          0.4148,          0.0596,          0.4229,          0.7875,          2.2334,          3.2279,          0.5659
          73,        0.600000,          1.3573,          0.0872,          0.8039,          0.9177,          0.9437,          0.2263,          0.0279,          0.3354,          1.2641,          0.4146,          0.0605,          0.4186,          0.7886,          2.2340,          3.2286,          0.5363
          74,        0.608333,          1.3564,          0.0883,          0.7965,          0.9257,          0.9445,          0.2265,          0.0274,          0.3348,          1.2638,          0.4148,          0.0615,          0.4163,          0.7898,          2.2346,          3.2292,          0.5286
          75,        0.616667,          1.3576,          0.0835,          0.7880,          0.9354,          0.9448,          0.2263,          0.0270,          0.3330,          1.2640,          0.4147,          0.0618,          0.4166,          0.7905,          2.2347,          3.2297,          0.5587
          76,        0.625000,          1.3610,          0.0816,          0.7791,          0.9436,          0.9453,          0.2265,          0.0267,          0.3311,          1.2640,          0.4145,          0.0624,          0.4171,          0.7904,          2.2348,          3.2300,          0.5540
          77,        0.633333,          1.3550,          0.0862,          0.7711,          0.9509,          0.9460,          0.2264,          0.0263,          0.3292,          1.2635,          0.4147,          0.0631,          0.4167,          0.7900,          2.2349,          3.2302,          0.5840
          78,        0.641667,          1.3555,          0.0856,          0.7611,          0.9586,          0.9456,          0.2263,          0.0261,          0.3276,          1.2639,          0.4143,          0.0640,          0.4149,          0.7898,          2.2348,          3.2306,          0.5382
          79,        0.650000,          1.3582,          0.0816,          0.7521,          0.9653,          0.9464,          0.2265,          0.0256,          0.3264,          1.2635,          0.4144,          0.0650,          0.4131,          0.7898,          2.2352,          3.2307,          0.5297
          80,        0.658333,          1.3577,          0.0865,          0.7419,          0.9724,          0.9464,          0.2263,          0.0253,          0.3245,          1.2636,          0.4142,          0.0657,          0.4114,          0.7902,          2.2352,          3.2310,          0.5692
          81,        0.666667,          1.3578,          0.0850,          0.7311,          0.9785,          0.9471,          0.2265,          0.0251,          0.3232,          1.2636,          0.4139,          0.0668,          0.4099,          0.7901,          2.2355,          3.2311,          0.5513
          82,        0.675000,          1.3561,          0.0929,          0.7209,          0.9823,          0.9482,          0.2264,          0.0250,          0.3213,          1.2633,          0.4140,          0.0678,          0.4084,          0.7901,          2.2356,          3.2312,          0.6064
          83,        0.683333,          1.3509,          0.0933,          0.7092,          0.9841,          0.9480,          0.2264,          0.0250,          0.3196,          1.2636,          0.4134,          0.0690,          0.4067,          0.7901,          2.2354,          3.2314,          0.5479
          84,        0.691667,          1.3572,          0.0885,          0.6982,          0.9860,          0.9489,          0.2265,          0.0248,          0.3179,          1.2631,          0.4136,          0.0702,          0.4053,          0.7898,          2.2357,          3.2314,          0.5334
          85,        0.700000,          1.3602,          0.0918,          0.6857,          0.9883,          0.9483,          0.2263,          0.0251,          0.3157,          1.2633,          0.4131,          0.0714,          0.4038,          0.7898,          2.2356,          3.2316,          0.5566
          86,        0.708333,          1.3641,          0.0765,          0.6727,          0.9893,          0.9493,          0.2265,          0.0252,          0.3139,          1.2631,          0.4129,          0.0730,          0.4021,          0.7894,          2.2357,          3.2315,          0.5501
          87,        0.716667,          1.3544,          0.0863,          0.6604,          0.9891,          0.9500,          0.2264,          0.0258,          0.3116,          1.2628,          0.4129,          0.0744,          0.4003,          0.7892,          2.2358,          3.2316,          0.6238
          88,        0.725000,          1.3524,          0.0937,          0.6470,          0.9873,          0.9498,          0.2264,          0.0263,          0.3092,          1.2630,          0.4123,          0.0761,          0.3983,          0.7889,          2.2357,          3.2317,          0.5585
