"InphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_013.tcf]","Time (h)","Q 2 [InphaseC4_013]","Q 3 [InphaseC4_013]","Q 4 [InphaseC4_013]","Q 5 [InphaseC4_013]","Q 6 [InphaseC4_013]","Q 7 [InphaseC4_013]","Q 1 [InphaseC4_013]","Q  8 [InphaseC4_013]"
         147,        1.216667,        -20.0002,        -19.9998,        -20.0005,        -19.9999,        -20.0002,        -20.0002,        -20.0000,        -20.0003
         148,        1.225000,        -19.9997,        -20.0000,        -19.9998,        -20.0002,        -20.0001,        -19.9997,        -20.0004,        -19.9998
         149,        1.233333,        -20.0002,        -20.0000,        -20.0003,        -20.0000,        -19.9998,        -20.0000,        -20.0001,        -20.0004
         150,        1.241667,        -19.9991,        -19.9998,        -19.9998,        -19.9999,        -20.0001,        -20.0000,        -20.0000,        -19.9989
         151,        1.250000,        -19.9999,        -20.0000,        -19.9996,        -20.0002,        -19.9999,        -20.0000,        -20.0000,        -19.9999
         152,        1.258333,        -19.9999,        -19.9998,        -20.0002,        -20.0000,        -19.9998,        -20.0004,        -19.9999,        -20.0001
         153,        1.266667,        -20.0001,        -20.0001,        -19.9998,        -20.0000,        -20.0000,        -20.0000,        -20.0001,        -20.0007
         154,        1.275000,        -19.9998,        -20.0001,        -19.9996,        -20.0000,        -20.0008,        -19.9999,        -20.0001,        -19.9997
         155,        1.283333,        -19.9997,        -20.0002,        -20.0003,        -20.0001,        -20.0000,        -20.0002,        -20.0001,        -19.9999
         156,        1.291667,        -20.0004,        -20.0001,        -20.0001,        -20.0001,        -19.9995,        -20.0002,        -19.9997,        -19.9995
         157,        1.300000,        -20.0004,        -19.9998,        -20.0005,        -20.0000,        -20.0002,        -20.0004,        -19.9998,        -20.0000
         158,        1.308333,        -19.9999,        -20.0003,        -20.0003,        -19.9997,        -19.9998,        -20.0001,        -19.9999,        -20.0002
         159,        1.316667,        -19.9994,        -20.0000,        -19.9997,        -20.0001,        -20.0003,        -20.0001,        -20.0002,        -20.0004
