"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\003\sfe_25.tcf]","Time (h)","Q 1 [sfe_25]","Q 2 [sfe_25]","Q 3 [sfe_25]","Q 4 [sfe_25]"
         284,        4.716667,          0.1878,          0.1878,          0.1878,          0.1878
         285,        4.733333,          0.1878,          0.1878,          0.1878,          0.1878
         286,        4.750000,          0.1878,          0.1878,          0.1878,          0.1878
         287,        4.766667,          0.1878,          0.1876,          0.1878,          0.1878
         288,        4.783333,          0.1877,          0.1877,          0.1878,          0.1878
         289,        4.800000,          0.1877,          0.1879,          0.1878,          0.1878
         290,        4.816667,          0.1879,          0.1881,          0.1878,          0.1878
         291,        4.833333,          0.1878,          0.1879,          0.1878,          0.1878
         292,        4.850000,          0.1879,          0.1878,          0.1878,          0.1878
         293,        4.866667,          0.1878,          0.1879,          0.1878,          0.1878
         294,        4.883333,          0.1878,          0.1878,          0.1878,          0.1878
         295,        4.900000,          0.1878,          0.1879,          0.1878,          0.1878
         296,        4.916667,          0.1878,          0.1877,          0.1878,          0.1878
         297,        4.933333,          0.1878,          0.1878,          0.1878,          0.1878
         298,        4.950000,          0.1878,          0.1877,          0.1878,          0.1878
         299,        4.966667,          0.1878,          0.1877,          0.1878,          0.1878
         300,        4.983333,          0.1878,          0.1879,          0.1878,          0.1878
         301,        5.000000,          0.1879,          0.1878,          0.1878,          0.1878
         302,        5.016667,          0.1878,          0.1878,          0.1878,          0.1878
         303,        5.033333,          0.1878,          0.1878,          0.1878,          0.1878
         304,        5.050000,          0.1878,          0.1878,          0.1878,          0.1878
         305,        5.066667,          0.1878,          0.1877,          0.1878,          0.1878
         306,        5.083333,          0.1878,          0.1878,          0.1878,          0.1878
         307,        5.100000,          0.1878,          0.1879,          0.1878,          0.1878
         308,        5.116667,          0.1878,          0.1878,          0.1878,          0.1878
         309,        5.133333,          0.1879,          0.1879,          0.1878,          0.1878
         310,        5.150000,          0.1878,          0.1879,          0.1878,          0.1878
         311,        5.166667,          0.1878,          0.1878,          0.1878,          0.1878
         312,        5.183333,          0.1878,          0.1877,          0.1878,          0.1878
         313,        5.200000,          0.1879,          0.1878,          0.1878,          0.1878
         314,        5.216667,          0.1877,          0.1877,          0.1878,          0.1878
         315,        5.233333,          0.1879,          0.1878,          0.1878,          0.1878
         316,        5.250000,          0.1878,          0.1878,          0.1878,          0.1878
         317,        5.266667,          0.1878,          0.1877,          0.1878,          0.1878
         318,        5.283333,          0.1878,          0.1878,          0.1878,          0.1878
         319,        5.300000,          0.1878,          0.1877,          0.1878,          0.1878
         320,        5.316667,          0.1878,          0.1879,          0.1878,          0.1878
         321,        5.333333,          0.1878,          0.1877,          0.1878,          0.1878
         322,        5.350000,          0.1878,          0.1878,          0.1878,          0.1878
         323,        5.366667,          0.1879,          0.1878,          0.1878,          0.1878
         324,        5.383333,          0.1878,          0.1877,          0.1878,          0.1878
         325,        5.400000,          0.1878,          0.1876,          0.1878,          0.1878
         326,        5.416667,          0.1878,          0.1879,          0.1878,          0.1878
         327,        5.433333,          0.1879,          0.1879,          0.1878,          0.1878
         328,        5.450000,          0.1878,          0.1879,          0.1878,          0.1878
         329,        5.466667,          0.1878,          0.1879,          0.1878,          0.1878
         330,        5.483333,          0.1879,          0.1879,          0.1878,          0.1878
         331,        5.500000,          0.1878,          0.1876,          0.1878,          0.1878
         332,        5.516667,          0.1878,          0.1877,          0.1878,          0.1878
         333,        5.533333,          0.1878,          0.1877,          0.1878,          0.1878
         334,        5.550000,          0.1878,          0.1877,          0.1878,          0.1878
         335,        5.566667,          0.1879,          0.1878,          0.1878,          0.1878
         336,        5.583333,          0.1878,          0.1878,          0.1878,          0.1878
         337,        5.600000,          0.1877,          0.1877,          0.1878,          0.1878
         338,        5.616667,          0.1878,          0.1878,          0.1878,          0.1878
         339,        5.633333,          0.1878,          0.1876,          0.1878,          0.1878
         340,        5.650000,          0.1878,          0.1879,          0.1878,          0.1878
         341,        5.666667,          0.1878,          0.1880,          0.1878,          0.1878
         342,        5.683333,          0.1878,          0.1877,          0.1878,          0.1878
         343,        5.700000,          0.1879,          0.1880,          0.1878,          0.1878
         344,        5.716667,          0.1878,          0.1879,          0.1878,          0.1878
         345,        5.733333,          0.1878,          0.1877,          0.1878,          0.1878
         346,        5.750000,          0.1878,          0.1880,          0.1878,          0.1878
         347,        5.766667,          0.1878,          0.1878,          0.1878,          0.1878
         348,        5.783333,          0.1878,          0.1880,          0.1878,          0.1878
         349,        5.800000,          0.1878,          0.1877,          0.1878,          0.1878
         350,        5.816667,          0.1878,          0.1879,          0.1878,          0.1878
         351,        5.833333,          0.1878,          0.1879,          0.1878,          0.1878
         352,        5.850000,          0.1878,          0.1879,          0.1878,          0.1878
         353,        5.866667,          0.1878,          0.1879,          0.1878,          0.1878
         354,        5.883333,          0.1878,          0.1877,          0.1878,          0.1878
         355,        5.900000,          0.1878,          0.1878,          0.1878,          0.1878
         356,        5.916667,          0.1879,          0.1876,          0.1878,          0.1878
         357,        5.933333,          0.1879,          0.1877,          0.1878,          0.1878
         358,        5.950000,          0.1878,          0.1878,          0.1878,          0.1878
         359,        5.966667,          0.1878,          0.1879,          0.1878,          0.1878
         360,        5.983333,          0.1878,          0.1878,          0.1878,          0.1878
         361,        6.000000,          0.1877,          0.1876,          0.1878,          0.1878

