"OutphaseC4_019","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_019.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.350000,          1.9875,          1.8526,          2.2294,          1.7907,          1.8180,          2.7002,          0.5455,          1.0208,          1.9761,          2.0448,          0.3732,          1.1835,          1.8724,          3.1413,          4.9929,          0.9941,        -79.9998,        -79.9953,        -79.9900,        -79.9317,        -79.8814,        -79.6687,        -79.9989,        -79.5639
,        0.358333,          1.9876,          1.8525,          2.2295,          1.7903,          1.8180,          2.7003,          0.5457,          1.0205,          1.9761,          2.0440,          0.3734,          1.1851,          1.8725,          3.1421,          4.9947,          0.9941,        -80.0004,        -79.9960,        -79.9923,        -79.9383,        -79.9051,        -79.7318,        -80.0004,        -79.6466
,        0.366667,          1.9875,          1.8524,          2.2296,          1.7901,          1.8182,          2.7001,          0.5458,          1.0204,          1.9761,          2.0435,          0.3742,          1.1882,          1.8721,          3.1408,          4.9955,          0.9941,        -79.9998,        -79.9965,        -79.9930,        -79.9445,        -79.9237,        -79.7829,        -79.9997,        -79.7134
,        0.375000,          1.9875,          1.8523,          2.2296,          1.7897,          1.8182,          2.7003,          0.5456,          1.0201,          1.9761,          2.0432,          0.3750,          1.1883,          1.8719,          3.1407,          4.9964,          0.9941,        -79.9996,        -79.9977,        -79.9961,        -79.9508,        -79.9393,        -79.8249,        -79.9989,        -79.7686
,        0.383333,          1.9875,          1.8523,          2.2297,          1.7894,          1.8181,          2.7002,          0.5456,          1.0196,          1.9762,          2.0428,          0.3756,          1.1875,          1.8719,          3.1409,          4.9974,          0.9941,        -79.9994,        -79.9979,        -79.9960,        -79.9538,        -79.9513,        -79.8589,        -79.9995,        -79.8117
,        0.391667,          1.9876,          1.8522,          2.2298,          1.7891,          1.8182,          2.7001,          0.5457,          1.0194,          1.9762,          2.0426,          0.3758,          1.1864,          1.8720,          3.1409,          4.9981,          0.9941,        -79.9997,        -80.0002,        -79.9965,        -79.9582,        -79.9610,        -79.8863,        -79.9986,        -79.8483
,        0.400000,          1.9875,          1.8522,          2.2299,          1.7887,          1.8181,          2.7002,          0.5459,          1.0194,          1.9764,          2.0423,          0.3760,          1.1861,          1.8720,          3.1408,          4.9986,          0.9941,        -80.0002,        -79.9985,        -79.9984,        -79.9594,        -79.9689,        -79.9072,        -79.9987,        -79.8777
,        0.408333,          1.9875,          1.8522,          2.2299,          1.7885,          1.8183,          2.7002,          0.5460,          1.0195,          1.9765,          2.0418,          0.3765,          1.1866,          1.8719,          3.1407,          4.9990,          0.9941,        -80.0005,        -79.9986,        -79.9986,        -79.9619,        -79.9750,        -79.9249,        -79.9991,        -79.9012
,        0.416667,          1.9876,          1.8522,          2.2300,          1.7881,          1.8182,          2.7002,          0.5461,          1.0194,          1.9764,          2.0416,          0.3766,          1.1863,          1.8719,          3.1405,          4.9994,          0.9941,        -79.9996,        -79.9992,        -79.9983,        -79.9624,        -79.9803,        -79.9400,        -79.9999,        -79.9204
,        0.425000,          1.9875,          1.8521,          2.2301,          1.7879,          1.8183,          2.7002,          0.5461,          1.0195,          1.9764,          2.0414,          0.3772,          1.1865,          1.8719,          3.1407,          4.9997,          0.9941,        -80.0000,        -80.0002,        -79.9974,        -79.9639,        -79.9842,        -79.9521,        -79.9988,        -79.9370
,        0.433333,          1.9875,          1.8521,          2.2302,          1.7876,          1.8183,          2.7001,          0.5461,          1.0191,          1.9764,          2.0412,          0.3778,          1.1877,          1.8718,          3.1405,          4.9999,          0.9941,        -79.9996,        -79.9995,        -79.9999,        -79.9652,        -79.9875,        -79.9614,        -80.0005,        -79.9485
,        0.441667,          1.9875,          1.8521,          2.2302,          1.7873,          1.8183,          2.7002,          0.5462,          1.0190,          1.9763,          2.0412,          0.3782,          1.1868,          1.8718,          3.1404,          5.0001,          0.9941,        -79.9998,        -80.0000,        -80.0006,        -79.9657,        -79.9900,        -79.9704,        -80.0001,        -79.9589
,        0.450000,          1.9875,          1.8521,          2.2303,          1.7871,          1.8184,          2.7003,          0.5463,          1.0189,          1.9764,          2.0411,          0.3786,          1.1860,          1.8719,          3.1407,          5.0003,          0.9941,        -79.9999,        -80.0004,        -79.9998,        -79.9676,        -79.9918,        -79.9758,        -80.0001,        -79.9668
,        0.458333,          1.9876,          1.8521,          2.2304,          1.7867,          1.8184,          2.7002,          0.5463,          1.0190,          1.9765,          2.0410,          0.3788,          1.1857,          1.8718,          3.1406,          5.0004,          0.9941,        -80.0002,        -80.0004,        -79.9990,        -79.9670,        -79.9931,        -79.9803,        -79.9990,        -79.9727
,        0.466667,          1.9876,          1.8521,          2.2305,          1.7865,          1.8184,          2.7002,          0.5463,          1.0189,          1.9765,          2.0410,          0.3789,          1.1849,          1.8720,          3.1406,          5.0005,          0.9941,        -79.9999,        -80.0012,        -79.9987,        -79.9664,        -79.9952,        -79.9842,        -79.9993,        -79.9783
,        0.475000,          1.9876,          1.8520,          2.2305,          1.7863,          1.8184,          2.7002,          0.5464,          1.0186,          1.9764,          2.0409,          0.3793,          1.1851,          1.8720,          3.1406,          5.0006,          0.9941,        -79.9998,        -80.0003,        -79.9994,        -79.9664,        -79.9968,        -79.9865,        -80.0003,        -79.9822
,        0.483333,          1.9875,          1.8521,          2.2307,          1.7860,          1.8185,          2.7003,          0.5464,          1.0187,          1.9765,          2.0409,          0.3797,          1.1848,          1.8720,          3.1404,          5.0006,          0.9941,        -80.0000,        -80.0003,        -80.0012,        -79.9679,        -79.9963,        -79.9887,        -80.0009,        -79.9858
,        0.491667,          1.9876,          1.8521,          2.2307,          1.7857,          1.8184,          2.7002,          0.5465,          1.0185,          1.9764,          2.0409,          0.3799,          1.1844,          1.8720,          3.1406,          5.0006,          0.9941,        -79.9998,        -80.0006,        -80.0012,        -79.9669,        -79.9967,        -79.9914,        -79.9999,        -79.9883
,        0.500000,          1.9875,          1.8520,          2.2309,          1.7855,          1.8185,          2.7004,          0.5466,          1.0184,          1.9764,          2.0408,          0.3801,          1.1837,          1.8721,          3.1406,          5.0007,          0.9940,        -80.0003,        -79.9986,        -79.9996,        -79.9680,        -79.9979,        -79.9937,        -79.9998,        -79.9913
,        0.508333,          1.9875,          1.8520,          2.2309,          1.7853,          1.8185,          2.7004,          0.5466,          1.0184,          1.9766,          2.0408,          0.3803,          1.1834,          1.8721,          3.1406,          5.0008,          0.9941,        -80.0004,        -80.0002,        -79.9991,        -79.9678,        -79.9987,        -79.9947,        -80.0002,        -79.9928
