"VanillaC4_013","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_013.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.341667,          1.4450,          1.0694,          1.4020,          1.3863,          1.4292,          1.0690,          1.1131,          1.1564,          1.1933,          1.2292,          1.0200,          1.2269,          1.4508,          1.4250,          1.3895,          1.4064,        -19.9998,        -19.9998,        -19.9997,        -19.9986,        -19.9950,        -19.9902,        -20.0001,        -19.9852
,        0.350000,          1.4450,          1.0694,          1.4020,          1.3863,          1.4292,          1.0691,          1.1131,          1.1564,          1.1933,          1.2293,          1.0200,          1.2268,          1.4508,          1.4250,          1.3896,          1.4064,        -20.0001,        -19.9999,        -19.9996,        -19.9990,        -19.9963,        -19.9925,        -20.0001,        -19.9881
,        0.358333,          1.4449,          1.0694,          1.4020,          1.3863,          1.4291,          1.0691,          1.1131,          1.1564,          1.1933,          1.2293,          1.0200,          1.2268,          1.4508,          1.4251,          1.3897,          1.4064,        -20.0002,        -20.0000,        -19.9995,        -19.9993,        -19.9973,        -19.9943,        -20.0000,        -19.9908
,        0.366667,          1.4450,          1.0694,          1.4020,          1.3863,          1.4292,          1.0690,          1.1131,          1.1564,          1.1933,          1.2292,          1.0200,          1.2269,          1.4509,          1.4251,          1.3894,          1.4064,        -20.0001,        -19.9999,        -20.0001,        -19.9993,        -19.9976,        -19.9953,        -19.9997,        -19.9938
,        0.375000,          1.4450,          1.0694,          1.4020,          1.3863,          1.4292,          1.0691,          1.1131,          1.1563,          1.1933,          1.2292,          1.0200,          1.2269,          1.4509,          1.4251,          1.3902,          1.4064,        -19.9999,        -20.0001,        -19.9998,        -19.9993,        -19.9983,        -19.9965,        -20.0000,        -19.9939
,        0.383333,          1.4449,          1.0694,          1.4020,          1.3862,          1.4292,          1.0691,          1.1131,          1.1563,          1.1932,          1.2292,          1.0200,          1.2269,          1.4508,          1.4250,          1.3944,          1.4064,        -19.9998,        -19.9998,        -20.0001,        -19.9998,        -19.9986,        -19.9971,        -20.0000,        -19.9990
,        0.391667,          1.4449,          1.0694,          1.4020,          1.3863,          1.4292,          1.0691,          1.1131,          1.1563,          1.1933,          1.2292,          1.0201,          1.2269,          1.4509,          1.4252,          1.3965,          1.4064,        -19.9999,        -19.9998,        -19.9997,        -19.9997,        -19.9990,        -19.9979,        -19.9997,        -19.9971
,        0.400000,          1.4449,          1.0694,          1.4020,          1.3863,          1.4291,          1.0691,          1.1131,          1.1564,          1.1933,          1.2292,          1.0201,          1.2269,          1.4508,          1.4253,          1.3907,          1.4064,        -20.0001,        -19.9998,        -19.9998,        -19.9998,        -19.9993,        -19.9985,        -19.9998,        -20.0032
,        0.408333,          1.4449,          1.0694,          1.4020,          1.3862,          1.4291,          1.0691,          1.1131,          1.1563,          1.1933,          1.2292,          1.0201,          1.2269,          1.4509,          1.4258,          1.3891,          1.4064,        -19.9999,        -20.0000,        -20.0001,        -19.9998,        -19.9996,        -19.9989,        -20.0000,        -19.9932
,        0.416667,          1.4450,          1.0694,          1.4020,          1.3863,          1.4291,          1.0691,          1.1131,          1.1564,          1.1933,          1.2292,          1.0201,          1.2269,          1.4511,          1.4253,          1.3905,          1.4063,        -19.9999,        -20.0001,        -19.9998,        -19.9999,        -19.9993,        -20.0000,        -20.0002,        -19.9946
