"OutphaseC4_011 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_011.tcf]","Time (h)","Q 2 [OutphaseC4_011]","Q 3 [OutphaseC4_011]","Q 4 [OutphaseC4_011]","Q 5 [OutphaseC4_011]","Q 6 [OutphaseC4_011]","Q 7 [OutphaseC4_011]","Q 1 [OutphaseC4_011]","Q  8 [OutphaseC4_011]"
         160,        1.325000,        -11.9943,        -12.0004,        -11.9995,        -11.9960,        -11.9961,        -11.9909,        -12.1058,        -11.9916
         161,        1.333333,        -12.0004,        -11.9995,        -11.9995,        -11.9984,        -11.9959,        -11.9916,        -12.3107,        -11.9914
         162,        1.341667,        -12.0021,        -12.0010,        -11.9987,        -11.9959,        -11.9963,        -11.9918,        -12.0703,        -11.9914
         163,        1.350000,        -11.9982,        -12.0002,        -11.9991,        -11.9974,        -11.9964,        -11.9920,        -11.9562,        -11.9914
         164,        1.358333,        -11.9968,        -11.9988,        -11.9997,        -11.9973,        -11.9963,        -11.9921,        -11.7412,        -11.9915
         165,        1.366667,        -11.9928,        -11.9987,        -11.9998,        -11.9977,        -11.9963,        -11.9913,        -12.0642,        -11.9913
         166,        1.375000,        -12.0036,        -12.0003,        -11.9995,        -11.9973,        -11.9966,        -11.9912,        -12.2327,        -11.9917
         167,        1.383333,        -12.0037,        -11.9997,        -11.9994,        -11.9974,        -11.9966,        -11.9913,        -12.1741,        -11.9918
         168,        1.391667,        -11.9980,        -12.0001,        -11.9993,        -11.9982,        -11.9971,        -11.9910,        -11.9124,        -11.9919
         169,        1.400000,        -11.9954,        -11.9985,        -11.9997,        -11.9985,        -11.9974,        -11.9918,        -11.6836,        -11.9917
         170,        1.408333,        -11.9944,        -12.0004,        -12.0002,        -11.9981,        -11.9976,        -11.9922,        -11.8865,        -11.9919
         171,        1.416667,        -12.0051,        -12.0003,        -12.0000,        -11.9981,        -11.9975,        -11.9921,        -12.1204,        -11.9921
         172,        1.425000,        -12.0072,        -12.0003,        -11.9994,        -11.9975,        -11.9976,        -11.9921,        -12.2858,        -11.9921
         173,        1.433333,        -12.0002,        -11.9991,        -11.9993,        -11.9996,        -11.9977,        -11.9917,        -11.8970,        -11.9926
         174,        1.441667,        -11.9934,        -11.9978,        -11.9998,        -11.9985,        -11.9978,        -11.9933,        -11.7974,        -11.9927
         175,        1.450000,        -11.9968,        -12.0007,        -12.0002,        -11.9979,        -11.9977,        -11.9941,        -11.6746,        -11.9928
         176,        1.458333,        -12.0036,        -12.0010,        -12.0004,        -11.9978,        -11.9985,        -11.9935,        -12.0386,        -11.9931
         177,        1.466667,        -12.0100,        -11.9995,        -11.9996,        -11.9986,        -11.9982,        -11.9940,        -12.2555,        -11.9936
         178,        1.475000,        -12.0033,        -11.9979,        -11.9995,        -11.9986,        -11.9984,        -11.9938,        -12.0471,        -11.9936
         179,        1.483333,        -11.9958,        -11.9987,        -11.9997,        -11.9981,        -11.9986,        -11.9947,        -11.8380,        -11.9938
         180,        1.491667,        -11.9961,        -11.9998,        -12.0000,        -11.9987,        -11.9988,        -11.9949,        -11.6474,        -11.9942
         181,        1.500000,        -12.0018,        -12.0001,        -12.0002,        -11.9977,        -11.9988,        -11.9944,        -11.9138,        -11.9942
         182,        1.508333,        -12.0086,        -11.9995,        -11.9995,        -11.9989,        -11.9988,        -11.9947,        -12.1587,        -11.9944
         183,        1.516667,        -12.0066,        -11.9995,        -11.9995,        -12.0002,        -11.9989,        -11.9955,        -12.2489,        -11.9948
         184,        1.525000,        -11.9998,        -12.0005,        -11.9996,        -11.9998,        -11.9990,        -11.9953,        -11.7914,        -11.9950
         185,        1.533333,        -11.9946,        -11.9994,        -12.0002,        -12.0003,        -11.9990,        -11.9951,        -11.8274,        -11.9948
         186,        1.541667,        -12.0003,        -12.0000,        -12.0003,        -11.9988,        -11.9992,        -11.9957,        -11.7967,        -11.9953
         187,        1.550000,        -12.0024,        -12.0000,        -12.0000,        -11.9995,        -11.9994,        -11.9945,        -12.1004,        -11.9953
         188,        1.558333,        -12.0074,        -11.9998,        -11.9997,        -11.9995,        -11.9991,        -11.9951,        -12.2537,        -11.9955
         189,        1.566667,        -12.0025,        -11.9994,        -11.9997,        -11.9996,        -11.9996,        -11.9974,        -11.8944,        -11.9957
         190,        1.575000,        -11.9960,        -12.0005,        -12.0001,        -11.9985,        -11.9996,        -11.9964,        -11.8859,        -11.9960
         191,        1.583333,        -11.9977,        -11.9994,        -12.0004,        -11.9989,        -11.9992,        -11.9967,        -11.8070,        -11.9959
         192,        1.591667,        -11.9984,        -12.0003,        -12.0002,        -12.0001,        -11.9995,        -11.9963,        -12.0843,        -11.9963
