"VanillaC4_003","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_003.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        1.116667,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4591,       -121.4593,       -121.4603,       -121.4600,       -121.4599,       -121.4596,       -121.4590,       -121.4604
,        1.133333,          2.3862,          2.2729,          2.4065,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3081,       -121.4599,       -121.4599,       -121.4606,       -121.4602,       -121.4596,       -121.4602,       -121.4601,       -121.4595
,        1.150000,          2.3862,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4604,       -121.4602,       -121.4606,       -121.4601,       -121.4600,       -121.4602,       -121.4615,       -121.4595
,        1.166667,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4609,       -121.4597,       -121.4596,       -121.4601,       -121.4603,       -121.4597,       -121.4593,       -121.4600
,        1.183333,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4596,       -121.4597,       -121.4605,       -121.4607,       -121.4598,       -121.4599,       -121.4603,       -121.4596
,        1.200000,          2.3863,          2.2729,          2.4065,          2.4479,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4596,       -121.4603,       -121.4605,       -121.4599,       -121.4609,       -121.4601,       -121.4616,       -121.4599
,        1.216667,          2.3863,          2.2729,          2.4064,          2.4480,          2.4101,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4603,       -121.4597,       -121.4593,       -121.4603,       -121.4598,       -121.4601,       -121.4598,       -121.4597
,        1.233333,          2.3863,          2.2729,          2.4064,          2.4479,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4603,       -121.4601,       -121.4598,       -121.4596,       -121.4600,       -121.4599,       -121.4599,       -121.4603
,        1.250000,          2.3862,          2.2729,          2.4065,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4592,       -121.4610,       -121.4597,       -121.4600,       -121.4602,       -121.4594,       -121.4600,       -121.4591
,        1.266667,          2.3863,          2.2729,          2.4065,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4601,       -121.4598,       -121.4606,       -121.4600,       -121.4598,       -121.4600,       -121.4611,       -121.4608
,        1.283333,          2.3862,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4610,       -121.4597,       -121.4589,       -121.4597,       -121.4606,       -121.4597,       -121.4609,       -121.4602
,        1.300000,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4613,       -121.4596,       -121.4603,       -121.4592,       -121.4600,       -121.4597,       -121.4603,       -121.4603
,        1.316667,          2.3862,          2.2729,          2.4064,          2.4480,          2.4101,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1935,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4604,       -121.4599,       -121.4597,       -121.4597,       -121.4601,       -121.4603,       -121.4597,       -121.4606
