"OutphaseC4_006 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_006.tcf]","Time (h)","V 2 [OutphaseC4_006]","V 3 [OutphaseC4_006]","V 4 [OutphaseC4_006]","V 5 [OutphaseC4_006]","V 6 [OutphaseC4_006]","V 7 [OutphaseC4_006]","V 8 [OutphaseC4_006]","V 9 [OutphaseC4_006]","V 10 [OutphaseC4_006]","V 11 [OutphaseC4_006]","V 12 [OutphaseC4_006]","V 13 [OutphaseC4_006]","V 14 [OutphaseC4_006]","V 15 [OutphaseC4_006]","V 16 [OutphaseC4_006]","V  1 [OutphaseC4_006]"
          66,        0.541667,          0.8814,          0.0000,          0.3856,          0.2937,          0.5057,          0.0000,          0.1202,          0.0944,          0.0734,          0.0000,          0.1351,          0.0718,          0.1004,          0.0000,          0.0000,          0.2596
          67,        0.550000,          0.8793,          0.0000,          0.3853,          0.2947,          0.5061,          0.0000,          0.1175,          0.0984,          0.1029,          0.0000,          0.1490,          0.0744,          0.1069,          0.0000,          0.0000,          0.2556
          68,        0.558333,          0.8810,          0.0000,          0.3839,          0.2963,          0.5063,          0.0000,          0.1142,          0.1029,          0.1557,          0.0000,          0.1567,          0.0699,          0.1039,          0.0000,          0.0000,          0.2643
          69,        0.566667,          0.8808,          0.0000,          0.3833,          0.2970,          0.5061,          0.0000,          0.1112,          0.1060,          0.2276,          0.0000,          0.1660,          0.0683,          0.1038,          0.0000,          0.0000,          0.2567
          70,        0.575000,          0.8795,          0.0000,          0.3821,          0.2976,          0.5071,          0.0000,          0.1092,          0.1097,          0.2752,          0.0000,          0.1723,          0.0645,          0.1014,          0.0000,          0.0000,          0.2559
          71,        0.583333,          0.8811,          0.0000,          0.3813,          0.2982,          0.5068,          0.0000,          0.1063,          0.1127,          0.3103,          0.0000,          0.1758,          0.0642,          0.1017,          0.0000,          0.0000,          0.2596
          72,        0.591667,          0.8799,          0.0000,          0.3806,          0.2978,          0.5074,          0.0000,          0.1045,          0.1152,          0.3432,          0.0000,          0.1794,          0.0627,          0.0984,          0.0000,          0.0000,          0.2558
          73,        0.600000,          0.8812,          0.0000,          0.3787,          0.2975,          0.5075,          0.0000,          0.1027,          0.1165,          0.3667,          0.0000,          0.1787,          0.0631,          0.0999,          0.0000,          0.0000,          0.2654
          74,        0.608333,          0.8806,          0.0000,          0.3774,          0.2964,          0.5073,          0.0000,          0.1001,          0.1171,          0.3868,          0.0000,          0.1775,          0.0638,          0.0987,          0.0000,          0.0000,          0.2567
          75,        0.616667,          0.8795,          0.0000,          0.3753,          0.2961,          0.5079,          0.0000,          0.0990,          0.1172,          0.4042,          0.0000,          0.1746,          0.0641,          0.1011,          0.0000,          0.0000,          0.2558
          76,        0.625000,          0.8810,          0.0000,          0.3740,          0.2966,          0.5073,          0.0000,          0.0979,          0.1170,          0.4184,          0.0000,          0.1706,          0.0657,          0.1039,          0.0000,          0.0000,          0.2597
          77,        0.633333,          0.8802,          0.0000,          0.3731,          0.2964,          0.5075,          0.0000,          0.0968,          0.1170,          0.4298,          0.0000,          0.1654,          0.0675,          0.1105,          0.3286,          0.0000,          0.2560
          78,        0.641667,          0.8813,          0.0000,          0.3718,          0.2960,          0.5075,          0.0000,          0.0954,          0.1168,          0.4398,          0.0000,          0.1603,          0.0697,          0.1186,          0.5155,          0.0000,          0.2666
          79,        0.650000,          0.8807,          0.0000,          0.3714,          0.2944,          0.5075,          0.0000,          0.0937,          0.1165,          0.4482,          0.0000,          0.1531,          0.0725,          0.1290,          0.6458,          0.0000,          0.2567
          80,        0.658333,          0.8793,          0.0000,          0.3701,          0.2930,          0.5083,          0.0000,          0.0931,          0.1178,          0.4566,          0.0000,          0.1470,          0.0766,          0.1411,          0.7562,          0.7392,          0.2559
          81,        0.666667,          0.8812,          0.0000,          0.3693,          0.2926,          0.5077,          0.0000,          0.0926,          0.1199,          0.4640,          0.0000,          0.1407,          0.0807,          0.1535,          0.8493,          0.9408,          0.2598
          82,        0.675000,          0.8806,          0.0000,          0.3687,          0.2922,          0.5080,          0.0000,          0.0917,          0.1210,          0.4695,          0.0000,          0.1343,          0.0856,          0.1679,          0.9329,          1.0886,          0.2563
          83,        0.683333,          0.8813,          0.0000,          0.3674,          0.2928,          0.5077,          0.0000,          0.0904,          0.1217,          0.4751,          0.0000,          0.1273,          0.0911,          0.1819,          1.0053,          1.2113,          0.2678
          84,        0.691667,          0.8806,          0.0000,          0.3670,          0.2933,          0.5074,          0.0000,          0.0895,          0.1220,          0.4799,          0.0000,          0.1213,          0.0969,          0.1960,          1.0697,          1.3185,          0.2566
          85,        0.700000,          0.8793,          0.0000,          0.3659,          0.2940,          0.5082,          0.0000,          0.0890,          0.1235,          0.4818,          0.0000,          0.1148,          0.1024,          0.2095,          1.1252,          1.4108,          0.2562
          86,        0.708333,          0.8811,          0.0000,          0.3651,          0.2949,          0.5080,          0.0000,          0.0885,          0.1252,          0.4851,          0.0000,          0.1081,          0.1071,          0.2222,          1.1754,          1.4919,          0.2598
          87,        0.716667,          0.8808,          0.0000,          0.3643,          0.2954,          0.5086,          0.0000,          0.0883,          0.1257,          0.4879,          0.0000,          0.1020,          0.1108,          0.2343,          1.2189,          1.5636,          0.2563
          88,        0.725000,          0.8812,          0.0000,          0.3631,          0.2964,          0.5088,          0.0000,          0.0882,          0.1252,          0.4905,          0.0000,          0.0956,          0.1135,          0.2453,          1.2581,          1.6265,          0.2686
