"VanillaC4_001 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_001.tcf]","Time (h)","V 2 [VanillaC4_001]","V 3 [VanillaC4_001]","V 4 [VanillaC4_001]","V 5 [VanillaC4_001]","V 6 [VanillaC4_001]","V 7 [VanillaC4_001]","V 8 [VanillaC4_001]","V 9 [VanillaC4_001]","V 10 [VanillaC4_001]","V 11 [VanillaC4_001]","V 12 [VanillaC4_001]","V 13 [VanillaC4_001]","V 14 [VanillaC4_001]","V 15 [VanillaC4_001]","V 16 [VanillaC4_001]","V  1 [VanillaC4_001]"
          48,        0.391667,          0.5788,          0.0000,          0.4949,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1612,          0.0000,          0.1485,          0.5797,          0.5527,          0.4165,          0.5563
          49,        0.400000,          0.5788,          0.0000,          0.4950,          0.4699,          0.5386,          0.0000,          0.0000,          0.0000,          0.0000,          0.1617,          0.0000,          0.1526,          0.5796,          0.5542,          0.4745,          0.5563
          50,        0.408333,          0.5788,          0.0000,          0.4949,          0.4700,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1620,          0.0000,          0.1554,          0.5796,          0.5550,          0.5118,          0.5564
          51,        0.416667,          0.5788,          0.0000,          0.4950,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1623,          0.0000,          0.1575,          0.5796,          0.5553,          0.5269,          0.5562
          52,        0.425000,          0.5789,          0.0000,          0.4949,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1625,          0.0000,          0.1589,          0.5795,          0.5553,          0.5354,          0.5562
          53,        0.433333,          0.5788,          0.0000,          0.4950,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1626,          0.0000,          0.1599,          0.5795,          0.5554,          0.5409,          0.5562
          54,        0.441667,          0.5788,          0.0000,          0.4950,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1626,          0.0000,          0.1606,          0.5794,          0.5556,          0.5445,          0.5562
          55,        0.450000,          0.5788,          0.0000,          0.4950,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1626,          0.0000,          0.1612,          0.5794,          0.5557,          0.5471,          0.5562
          56,        0.458333,          0.5789,          0.0000,          0.4950,          0.4700,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1629,          0.0000,          0.1614,          0.5793,          0.5557,          0.5488,          0.5562
          57,        0.466667,          0.5788,          0.0000,          0.4950,          0.4699,          0.5388,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1617,          0.5793,          0.5558,          0.5500,          0.5562
          58,        0.475000,          0.5788,          0.0000,          0.4950,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1620,          0.5792,          0.5557,          0.5508,          0.5563
          59,        0.483333,          0.5789,          0.0000,          0.4950,          0.4700,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1627,          0.0000,          0.1620,          0.5792,          0.5558,          0.5515,          0.5563
          60,        0.491667,          0.5788,          0.0000,          0.4949,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1627,          0.0000,          0.1622,          0.5793,          0.5558,          0.5519,          0.5563
          61,        0.500000,          0.5787,          0.0000,          0.4950,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1629,          0.0000,          0.1622,          0.5792,          0.5558,          0.5522,          0.5563
          62,        0.508333,          0.5788,          0.0000,          0.4951,          0.4699,          0.5387,          0.0000,          0.0000,          0.0000,          0.0000,          0.1628,          0.0000,          0.1623,          0.5792,          0.5558,          0.5524,          0.5563
