iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
205,32.6192,0.238256,0.238094,0.787659,0.92244,0.300003,88.4071
206,32.8573,0.238254,0.238094,0.784653,0.92244,0.300003,88.4907
207,33.0954,0.238251,0.238094,0.78714,0.922424,0.300003,88.573
208,33.3335,0.238249,0.238094,0.786545,0.922409,0.300018,88.6542
209,33.5716,0.238234,0.238094,0.786575,0.922363,0.300034,88.7343
210,33.8096,0.238208,0.238094,0.786011,0.922256,0.300034,88.8134
211,34.0477,0.238181,0.238094,0.784042,0.92215,0.300034,88.8915
212,34.2858,0.238154,0.238094,0.784439,0.922043,0.300018,88.9685
213,34.5239,0.23814,0.238094,0.782501,0.921997,0.300018,89.0445
214,34.762,0.238125,0.238094,0.781921,0.921936,0.300018,89.1194
215,35.0001,0.238111,0.238094,0.781662,0.921875,0.300034,89.1935
216,35.236,0.238084,0.235848,0.781281,0.921768,0.300018,89.2596
217,35.4718,0.23807,0.235848,0.780884,0.921722,0.300034,89.3249
218,35.7077,0.238043,0.235848,0.780365,0.921616,0.300034,89.3893
219,35.9435,0.238016,0.235848,0.779953,0.921509,0.300034,89.4531
220,36.1794,0.23799,0.235848,0.779678,0.921417,0.300034,89.516
221,36.4152,0.237963,0.235848,0.779282,0.92131,0.300034,89.5782
222,36.6511,0.237937,0.235848,0.779007,0.921204,0.300034,89.6397
223,36.8869,0.23791,0.235848,0.778717,0.921097,0.300034,89.7005
224,37.1228,0.237883,0.235848,0.778351,0.921005,0.300034,89.7606
225,37.3586,0.237857,0.235848,0.775528,0.920898,0.300034,89.8199
226,37.5944,0.23783,0.235848,0.774658,0.920792,0.300018,89.8786
227,37.8303,0.237816,0.235848,0.774002,0.920731,0.300034,89.9366
228,38.0661,0.237789,0.235848,0.773605,0.920639,0.300018,89.994
229,38.302,0.237775,0.235848,0.773209,0.920578,0.300034,90.0506
230,38.5378,0.237748,0.235848,0.772827,0.920471,0.300034,90.1067
231,38.7737,0.237721,0.235848,0.772507,0.920364,0.300034,90.1622
232,39.0095,0.237695,0.235848,0.772308,0.920273,0.300034,90.217
233,39.2454,0.237668,0.235848,0.772049,0.920166,0.300049,90.2713
234,39.4812,0.23763,0.235848,0.771942,0.920013,0.300034,90.325
235,39.7171,0.237603,0.235848,0.771637,0.919907,0.300034,90.3781
236,39.9529,0.237576,0.235848,0.771744,0.919815,0.300034,90.4307
237,40.1888,0.23755,0.235848,0.771576,0.919708,0.300034,90.4827
238,40.4246,0.237523,0.235848,0.771362,0.919601,0.300034,90.5342
239,40.6605,0.237497,0.235848,0.771027,0.919495,0.300018,90.5851
240,40.8963,0.237482,0.235848,0.770645,0.919449,0.300034,90.6355
241,41.1322,0.237456,0.235848,0.770233,0.919342,0.300049,90.6854
242,41.368,0.237417,0.235848,0.769836,0.919189,0.300034,90.7348
243,41.6039,0.237391,0.235848,0.769424,0.919098,0.300034,90.7837
244,41.8397,0.237364,0.235848,0.769028,0.918991,0.300034,90.8321
245,42.0756,0.237337,0.235848,0.768539,0.918884,0.300034,90.8801
246,42.3114,0.237311,0.235848,0.768082,0.918777,0.300034,90.9275
247,42.5473,0.237284,0.235848,0.767624,0.918686,0.300049,90.9745
248,42.7831,0.237246,0.235848,0.76709,0.918533,0.300034,91.0211
249,43.0189,0.237219,0.235848,0.766586,0.918427,0.300034,91.0672
250,43.2548,0.237193,0.235848,0.766068,0.91832,0.300049,91.1129
251,43.4906,0.237154,0.235848,0.765488,0.918182,0.300034,91.1582
252,43.7265,0.237128,0.235848,0.764954,0.918076,0.300034,91.203
253,43.9623,0.237101,0.235848,0.764435,0.917969,0.300034,91.2475
254,44.1982,0.237075,0.235848,0.763885,0.917862,0.300034,91.2915
255,44.434,0.237048,0.235848,0.76329,0.91777,0.300049,91.3351
256,44.6699,0.23701,0.235848,0.762619,0.917618,0.300034,91.3783
257,44.9057,0.236983,0.235848,0.761948,0.917511,0.300034,91.4211
258,45.1416,0.236957,0.235848,0.761215,0.917404,0.300049,91.4636
259,45.3774,0.236918,0.235848,0.760422,0.917267,0.300049,91.5057
260,45.6133,0.236879,0.235848,0.759613,0.917114,0.300034,91.5474
261,45.8491,0.236853,0.235848,0.75882,0.917007,0.300049,91.5888
262,46.085,0.236814,0.235848,0.757996,0.916855,0.300049,91.6298
263,46.3208,0.236776,0.235848,0.757141,0.916718,0.300049,91.6705
264,46.5567,0.236737,0.235848,0.756302,0.916565,0.300049,91.7109
265,46.7925,0.236699,0.235848,0.755447,0.916412,0.300064,91.751
266,47.0284,0.236648,0.235848,0.754578,0.916214,0.300049,91.7907
267,47.2642,0.23661,0.235848,0.753723,0.916061,0.300049,91.8302
268,47.5001,0.236571,0.235848,0.752869,0.915924,0.300064,91.8693
269,47.7359,0.236521,0.235848,0.751953,0.915726,0.300049,91.9082
