"InphaseC4_005","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_005.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.341667,          1.6338,          0.6870,          1.3916,          2.3841,          1.6242,          0.6526,          1.1831,          2.1750,          0.8729,          0.9818,          1.5568,          2.1250,          1.7481,          1.4475,          1.2613,          1.9409,        -38.2738,        -38.2743,        -38.2735,        -38.2743,        -38.2753,        -38.2741,        -38.2744,        -38.2743
,        0.350000,          1.6338,          0.6869,          1.3915,          2.3841,          1.6242,          0.6526,          1.1831,          2.1750,          0.8729,          0.9818,          1.5568,          2.1251,          1.7481,          1.4475,          1.2612,          1.9409,        -38.2737,        -38.2748,        -38.2744,        -38.2740,        -38.2741,        -38.2741,        -38.2741,        -38.2744
,        0.358333,          1.6338,          0.6869,          1.3915,          2.3841,          1.6243,          0.6526,          1.1831,          2.1750,          0.8729,          0.9817,          1.5568,          2.1251,          1.7481,          1.4475,          1.2613,          1.9409,        -38.2742,        -38.2741,        -38.2741,        -38.2746,        -38.2747,        -38.2744,        -38.2744,        -38.2751
,        0.366667,          1.6338,          0.6869,          1.3915,          2.3841,          1.6242,          0.6526,          1.1831,          2.1750,          0.8729,          0.9817,          1.5568,          2.1251,          1.7481,          1.4475,          1.2613,          1.9410,        -38.2742,        -38.2744,        -38.2740,        -38.2747,        -38.2730,        -38.2741,        -38.2737,        -38.2748
,        0.375000,          1.6338,          0.6869,          1.3915,          2.3841,          1.6242,          0.6525,          1.1832,          2.1750,          0.8730,          0.9818,          1.5568,          2.1250,          1.7481,          1.4475,          1.2613,          1.9409,        -38.2743,        -38.2738,        -38.2746,        -38.2741,        -38.2743,        -38.2744,        -38.2745,        -38.2743
,        0.383333,          1.6338,          0.6869,          1.3915,          2.3841,          1.6243,          0.6526,          1.1831,          2.1750,          0.8729,          0.9818,          1.5568,          2.1250,          1.7481,          1.4475,          1.2613,          1.9410,        -38.2747,        -38.2744,        -38.2747,        -38.2740,        -38.2742,        -38.2743,        -38.2741,        -38.2742
,        0.391667,          1.6338,          0.6869,          1.3915,          2.3840,          1.6242,          0.6526,          1.1832,          2.1750,          0.8729,          0.9817,          1.5568,          2.1250,          1.7481,          1.4475,          1.2613,          1.9409,        -38.2749,        -38.2748,        -38.2748,        -38.2744,        -38.2740,        -38.2744,        -38.2742,        -38.2739
,        0.400000,          1.6339,          0.6869,          1.3915,          2.3841,          1.6243,          0.6525,          1.1831,          2.1750,          0.8729,          0.9818,          1.5569,          2.1250,          1.7481,          1.4475,          1.2613,          1.9409,        -38.2747,        -38.2744,        -38.2746,        -38.2742,        -38.2741,        -38.2740,        -38.2745,        -38.2734
,        0.408333,          1.6338,          0.6869,          1.3915,          2.3841,          1.6242,          0.6526,          1.1832,          2.1750,          0.8729,          0.9818,          1.5569,          2.1250,          1.7481,          1.4475,          1.2613,          1.9409,        -38.2742,        -38.2739,        -38.2743,        -38.2744,        -38.2747,        -38.2742,        -38.2743,        -38.2740
,        0.416667,          1.6338,          0.6869,          1.3915,          2.3841,          1.6242,          0.6526,          1.1831,          2.1750,          0.8729,          0.9818,          1.5568,          2.1251,          1.7481,          1.4475,          1.2613,          1.9409,        -38.2741,        -38.2742,        -38.2745,        -38.2742,        -38.2751,        -38.2740,        -38.2740,        -38.2751
,        0.425000,          1.6338,          0.6869,          1.3916,          2.3841,          1.6242,          0.6526,          1.1832,          2.1750,          0.8729,          0.9818,          1.5568,          2.1250,          1.7481,          1.4474,          1.2613,          1.9409,        -38.2741,        -38.2743,        -38.2736,        -38.2742,        -38.2749,        -38.2742,        -38.2743,        -38.2739
